Date       | CurrencyCode | GoldRate
2026-04-12 | INR          | 13200
2026-04-12 | USD          | 86
2026-04-12 | EUR          | 79
2026-04-12 | GBP          | 68
2026-04-12 | AED          | 315
2026-04-13 | INR          | 13225
2026-04-13 | USD          | 86.5
2026-04-13 | EUR          | 79.2
2026-04-13 | GBP          | 68.4
2026-04-13 | AED          | 316
2026-04-14 | INR          | 14190
2026-04-14 | USD          | 85.8
2026-04-14 | EUR          | 78.7
2026-04-14 | GBP          | 67.9
2026-04-14 | AED          | 314
2026-04-15 | INR          | 14250
2026-04-15 | USD          | 86.9
2026-04-15 | EUR          | 79.8
2026-04-15 | GBP          | 68.7
2026-04-15 | AED          | 317
2026-04-16 | INR          | 13300
2026-04-16 | USD          | 87.3
2026-04-16 | EUR          | 80.1
2026-04-16 | GBP          | 69.2
2026-04-16 | AED          | 319
2026-04-17 | INR          | 14280
2026-04-17 | USD          | 87.0
2026-04-17 | EUR          | 79.6
2026-04-17 | GBP          | 68.9
2026-04-17 | AED          | 318
2026-04-18 | INR          | 13350
2026-04-18 | USD          | 88.1
2026-04-18 | EUR          | 80.7
2026-04-18 | GBP          | 69.8
2026-04-18 | AED          | 321
2026-04-19 | INR          | 13380
2026-04-19 | USD          | 88.5
2026-04-19 | EUR          | 81.0
2026-04-19 | GBP          | 70.2
2026-04-19 | AED          | 323
2026-04-20 | INR          | 12400
2026-04-20 | USD          | 88.9
2026-04-20 | EUR          | 81.4
2026-04-20 | GBP          | 70.5
2026-04-20 | AED          | 324
2026-04-21 | INR          | 13425
2026-04-21 | USD          | 89.3
2026-04-21 | EUR          | 81.8
2026-04-21 | GBP          | 70.9
2026-04-21 | AED          | 326
